ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month,TOTAL PAID,TOTAL_SPEND,
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,1,689,7704,
2,120000,2,2,2,26,-1,2,0,0,0,2,1,5000,17077,
3,90000,2,2,2,34,0,0,0,0,0,0,0,11018,101653,
4,50000,2,2,1,37,0,0,0,0,0,0,0,8388,231334,
5,50000,1,2,1,57,-1,0,-1,0,0,0,0,59049,109339,
6,50000,1,1,2,37,0,0,0,0,0,0,0,7772,238114,
7,500000,1,1,2,29,0,0,0,0,0,0,0,180759,2724595,
8,100000,2,2,2,23,0,-1,-1,0,0,-1,0,4791,13486,
9,140000,2,3,1,28,0,0,2,0,0,0,0,6761,65212,
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,14129,26919,
11,200000,2,3,2,34,0,0,2,0,0,-1,0,6472,34467,
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,0,66308,88369,
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,0,23370,41007,
14,70000,1,2,2,30,1,2,2,0,0,2,1,10700,338685,
15,250000,1,1,2,29,0,0,0,0,0,0,0,18000,373591,
16,50000,2,3,3,23,1,2,0,0,0,0,0,6200,196416,
17,20000,1,1,2,24,0,0,2,2,2,2,1,6350,106161,
18,320000,1,1,1,49,0,0,0,-1,-1,-1,0,361897,966014,
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,
21,130000,2,3,2,39,0,0,0,0,0,-1,0,42231,123883,
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,1,1580,1896,
23,70000,2,2,2,26,2,0,0,2,2,2,1,11010,265475,
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,1,22589,26965,
25,90000,1,1,2,23,0,0,0,-1,0,0,0,16400,31864,
26,50000,1,3,2,23,0,0,0,0,0,0,0,7891,214295,
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,1,2500,-394,
28,50000,2,3,2,30,0,0,0,0,0,0,0,7112,112268,
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,0,39567,40208,
30,50000,1,1,2,26,0,0,0,0,0,0,0,6600,97082,
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,0,97489,113746,
32,50000,1,2,2,33,2,0,0,0,0,0,1,6934,151869,
33,100000,1,1,2,32,0,0,0,0,0,0,0,18744,495237,
34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,0,158502,125744,
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,0,45425,58318,
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,0,2280,25312,
37,280000,1,2,1,40,0,0,0,0,0,0,0,41923,1069977,
38,60000,2,2,2,22,0,0,0,0,0,-1,0,53349,32279,
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,1,780,780,
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,0,37357,51643,
41,360000,1,1,2,33,0,0,0,0,0,0,0,243840,1650751,
42,70000,2,1,2,25,0,0,0,0,0,0,0,19342,392856,
43,10000,1,2,2,22,0,0,0,0,0,0,0,7227,22761,
